Type	File	Dataset	ClusterError	Errors	Score
2	sw.opencyc.org---sw.opencyc.org.nt	sw.opencyc.org	[http://sw.opencyc.org/2008/06/10/concept/en/GavleborgsLan_ProvinceSweden, http://sw.opencyc.org/concept/Mx4rwKv_DJwpEbGdrcN5Y29ycA]	2	1
2	sw.opencyc.org---sw.opencyc.org.nt	sw.opencyc.org	[http://sw.opencyc.org/2008/06/10/concept/en/Varanasi_District_India, http://sw.opencyc.org/concept/Mx4rheEDHOpVQdiD_MZnMmPeeQ]	2	1
2	sw.opencyc.org---sw.opencyc.org.nt	sw.opencyc.org	[http://sw.opencyc.org/concept/Mx4rvVj7H5wpEbGdrcN5Y29ycA, http://sw.opencyc.org/2008/06/10/concept/en/CityOfBangaloreIndia]	2	1
1(503-404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/musicbrainz/resource/track/6d4ea72b-dfc5-4122-aa62-9caeee4cbb10, http://dbtune.org/myspace/uid/181442848.rdf#14769566]	2	1
2(404-503)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/uid/43063185, http://dbtune.org/musicbrainz/resource/artist/25a0b124-7279-4eb9-a539-fa1b16b0a25e]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/8luff, http://dbtune.org/myspace/uid/379459901]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/alvegas, http://dbtune.org/myspace/uid/51713887]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/aurynlight, http://dbtune.org/myspace/uid/68204471]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/boombapcrew, http://dbtune.org/myspace/uid/122853010]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/creyrock, http://dbtune.org/myspace/uid/320675395]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/cubicat, http://dbtune.org/myspace/uid/105096758]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/deeloeso1, http://dbtune.org/myspace/uid/436455593]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/djanimal, http://dbtune.org/myspace/uid/17210543]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/favsongsyayay, http://dbtune.org/myspace/uid/180324854]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/hadg, http://dbtune.org/myspace/uid/87145765]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/megrougrogras, http://dbtune.org/myspace/uid/157410087]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/nochoicemusic, http://dbtune.org/myspace/uid/15623784]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/raptorp, http://dbtune.org/myspace/uid/109331822]	2	1
